,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
135,nyahururu,12,KE,1615667996,85,0.0421,36.3673,53.46,6.15
136,torrijos,0,ES,1615667997,41,39.9819,-4.2835,54.0,9.19
137,hilo,90,US,1615667939,78,19.7297,-155.09,75.2,9.22
138,pevek,100,RU,1615667997,98,69.7008,170.3133,-3.14,8.05
139,varzea da palma,89,BR,1615667998,85,-17.5981,-44.7308,74.93,2.19
140,grenville,75,GD,1615667998,78,12.1167,-61.6167,80.6,19.57
141,cidreira,0,BR,1615667999,79,-30.1811,-50.2056,75.27,10.78
142,esperance,51,AU,1615667999,81,-33.8667,121.9,48.2,5.75
143,great yarmouth,5,GB,1615667866,70,52.6083,1.7305,42.8,13.8
144,denpasar,40,ID,1615668000,94,-8.65,115.2167,77.0,3.44
145,lerwick,75,GB,1615668001,81,60.1545,-1.1494,42.8,18.41
146,keuruu,90,FI,1615668001,93,62.2667,24.7,33.01,4.61
147,tura,3,IN,1615668002,59,25.5198,90.2201,64.36,1.45
148,maamba,0,ZM,1615668002,78,-17.3667,27.15,69.53,1.86
149,vardo,100,NO,1615668004,88,70.3705,31.1107,25.48,7.92
150,wiarton,75,CA,1615668004,48,44.7407,-81.1332,37.99,21.85
151,langsa,52,ID,1615668005,86,4.4683,97.9683,73.02,2.91
152,nanortalik,100,GL,1615668005,72,60.1432,-45.2371,27.39,5.88
153,bekhtery,75,UA,1615668006,100,46.251,32.2927,39.2,6.71
154,carnarvon,3,AU,1615668007,57,-24.8667,113.6333,80.6,9.22
155,naze,97,JP,1615668007,71,28.3667,129.4833,58.69,11.65
156,castro,34,BR,1615668008,69,-24.7911,-50.0119,74.41,2.21
157,belturbet,98,IE,1615668008,81,54.1,-7.45,43.0,5.99
158,matara,99,LK,1615668009,89,5.9485,80.5353,75.7,10.09
159,praia da vitoria,75,PT,1615668009,88,38.7333,-27.0667,60.8,23.24
160,norman wells,40,CA,1615668010,65,65.282,-126.8329,-5.8,4.61
161,serenje,100,ZM,1615668010,97,-13.2325,30.2352,63.52,3.31
162,mahebourg,40,MU,1615668011,78,-20.4081,57.7,80.6,5.75
163,atar,0,MR,1615668012,10,20.5169,-13.0499,71.71,7.99
164,arraial do cabo,0,BR,1615668012,83,-22.9661,-42.0278,82.4,4.61
165,vaihingen,40,DE,1615668012,81,48.7314,9.1097,42.01,6.91
166,palmer,20,US,1615668013,19,42.1584,-72.3287,44.01,17.27
167,baranchinskiy,50,RU,1615668014,88,58.1617,59.6991,9.81,12.55
168,kavieng,11,PG,1615668014,66,-2.5744,150.7967,81.82,3.58
169,maputo,20,MZ,1615668015,78,-25.9653,32.5892,79.0,4.61
170,muli,74,MV,1615668016,73,2.9167,73.5667,82.83,11.23
171,kibala,0,TD,1615668016,45,9.1104,18.3463,89.6,2.37
172,prata,73,BR,1615668017,83,-19.3072,-48.9242,76.19,5.68
173,fortuna,40,US,1615668017,76,40.5982,-124.1573,55.99,5.75
174,tessalit,15,ML,1615667920,34,20.1986,1.0114,68.95,8.46
175,georgetown,20,MY,1615668018,88,5.4112,100.3354,80.6,2.3
176,mayo,1,US,1615668019,34,38.8876,-76.5119,55.0,10.36
177,manali,20,IN,1615668020,88,13.1667,80.2667,75.2,1.9
178,safranbolu,97,TR,1615668020,68,41.2508,32.6942,41.2,1.34
179,vaini,40,TO,1615667880,78,-21.2,-175.2,80.6,6.91
180,sao filipe,0,CV,1615668021,76,14.8961,-24.4956,71.26,4.21
181,digby,0,CA,1615668021,38,44.6169,-65.7655,39.2,12.66
182,raudeberg,88,NO,1615668022,77,61.9875,5.1352,39.99,13.33
183,chaplygin,97,RU,1615668023,75,53.2432,39.9629,27.0,11.74
184,bengkulu,100,ID,1615668023,80,-3.8004,102.2655,76.01,4.56
185,qaanaaq,100,GL,1615668024,65,77.484,-69.3632,-0.08,6.38
186,tolyatti,0,RU,1615668024,72,53.5303,49.3461,6.8,6.71
187,panzhihua,0,CN,1615667948,56,26.5851,101.7128,54.0,0.4
188,mabaruma,100,GY,1615668025,93,8.2,-59.7833,72.28,1.36
189,dicabisagan,100,PH,1615668025,89,17.0818,122.4157,75.06,11.61
190,belmonte,20,BR,1615668026,70,-15.8631,-38.8828,84.2,2.3
191,novyy yarychiv,0,UA,1615668026,65,49.9044,24.3052,44.6,11.18
192,port augusta,0,AU,1615668027,58,-32.5,137.7667,59.0,14.97
193,statesboro,1,US,1615667908,34,32.4488,-81.7832,84.2,0.49
194,flinders,100,AU,1615668028,89,-34.5833,150.8552,66.99,5.99
195,torbay,20,CA,1615667728,42,47.6666,-52.7314,42.8,11.5
